Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
GPU,01G-P4-2751-KR,EVGA,EVGA GTX 750 1GB Dual-Link,226,14.7,66662,https://gpu.userbenchmark.com/Nvidia-GTX-750/Rating/3162,
GPU,01G-P4-2753-KR,EVGA,EVGA GTX 750 1GB Dual-Link SC,226,14.7,66662,https://gpu.userbenchmark.com/Nvidia-GTX-750/Rating/3162,
GPU,,AMD,RX Vega 11 (Ryzen iGPU),227,14.5,44235,https://gpu.userbenchmark.com/SpeedTest/401440/AMD-RadeonTM-RX-Vega-11-Graphics,
GPU,,Nvidia,GTX 850M,228,14.4,13931,https://gpu.userbenchmark.com/SpeedTest/9138/NVIDIA-GeForce-GTX-850M,
GPU,,Nvidia,GTX 460 v2,229,14.2,664,https://gpu.userbenchmark.com/SpeedTest/9101/NVIDIA-GeForce-GTX-460-v2,
GPU,,AMD,RX 550,230,14.1,79894,https://gpu.userbenchmark.com/AMD-RX-550/Rating/3925,
GPU,,Nvidia,GTX 650-Ti,231,14.1,36698,https://gpu.userbenchmark.com/Nvidia-GTX-650-Ti/Rating/2189,
GPU,,Intel,Iris Xe,232,14.1,144774,https://gpu.userbenchmark.com/SpeedTest/1268515/IntelR-IrisR-Xe-Graphics,
GPU,,Nvidia,GTX 950M,233,14,38813,https://gpu.userbenchmark.com/SpeedTest/27713/NVIDIA-GeForce-GTX-950M,
GPU,,Nvidia,GTX 560,234,13.8,23273,https://gpu.userbenchmark.com/Nvidia-GTX-560/Rating/3155,
GPU,,AMD,FirePro V7900 (FireGL V),235,13.8,595,https://gpu.userbenchmark.com/SpeedTest/9001/AMD-FirePro-V7900-FireGL-V,
GPU,,Nvidia,GeForce MX250,236,13.7,8806,https://gpu.userbenchmark.com/SpeedTest/762458/NVIDIA-GeForce-MX250,
GPU,,Nvidia,MX150-0,237,13.7,29453,https://gpu.userbenchmark.com/SpeedTest/332822/NVIDIA-GeForce-MX150,
GPU,,Nvidia,GT 1030,238,13.6,185384,https://gpu.userbenchmark.com/SpeedTest/283726/NVIDIA-GeForce-GT-1030,
