Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Core i5-2500S,442,64.3,3031,https://cpu.userbenchmark.com/SpeedTest/1699/IntelR-CoreTM-i5-2500S-CPU---270GHz,
CPU,,Intel,Core i7 860,443,64.2,51451,https://cpu.userbenchmark.com/SpeedTest/841/IntelR-CoreTM-i7-CPU---------860----280GHz,
CPU,,AMD,Ryzen 7 2800H,444,64.1,68,https://cpu.userbenchmark.com/SpeedTest/667422/AMD-Ryzen-7-2800H-with-Radeon-Vega-Graphics,
CPU,,Intel,Core i5-3330S,445,64.1,4454,https://cpu.userbenchmark.com/SpeedTest/4366/IntelR-CoreTM-i5-3330S-CPU---270GHz,
CPU,,Intel,Core i5-2300,446,64,19722,https://cpu.userbenchmark.com/SpeedTest/291/IntelR-CoreTM-i5-2300-CPU---280GHz,
CPU,,Intel,Core i7-4770HQ,447,64,1692,https://cpu.userbenchmark.com/SpeedTest/18784/IntelR-CoreTM-i7-4770HQ-CPU---220GHz,
CPU,,Intel,Core i7 930,448,64,19497,https://cpu.userbenchmark.com/SpeedTest/79/IntelR-CoreTM-i7-CPU---------930----280GHz,
CPU,,Intel,Core i5-2320,449,63.9,38345,https://cpu.userbenchmark.com/SpeedTest/1735/IntelR-CoreTM-i5-2320-CPU---300GHz,
CPU,,Intel,Core i5-2405S,450,63.9,194,https://cpu.userbenchmark.com/SpeedTest/10048/IntelR-CoreTM-i5-2405S-CPU---250GHz,
CPU,,Intel,Core i7-7567U,451,63.9,1965,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz,
CPU,,Intel,Core i5 760,452,63.6,34495,https://cpu.userbenchmark.com/SpeedTest/717/IntelR-CoreTM-i5-CPU---------760----280GHz,
CPU,BX80662I56500,Intel,Core i5-6500,453,63.6,241476,https://cpu.userbenchmark.com/Intel-Core-i5-6500/Rating/3513,
CPU,BX80677I57400,Intel,Core i5-7400,454,63.5,234266,https://cpu.userbenchmark.com/Intel-Core-i5-7400/Rating/3886,
CPU,CM8068403360212,Intel,Pentium G5400T,455,63.5,187,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz,
CPU,BX80646I54590,Intel,Core i5-4590,456,63.5,151366,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604,
CPU,,Intel,Core i7-4750HQ,457,63.4,5497,https://cpu.userbenchmark.com/SpeedTest/3709/IntelR-CoreTM-i7-4750HQ-CPU---200GHz,
CPU,,Intel,Core i7-4800MQ,458,63.3,22632,https://cpu.userbenchmark.com/SpeedTest/3437/IntelR-CoreTM-i7-4800MQ-CPU---270GHz,
CPU,,Intel,Core i7-1165G7,459,63.2,56440,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,
CPU,,Intel,Xeon E5540,460,63.1,486,https://cpu.userbenchmark.com/SpeedTest/13822/IntelR-XeonR-CPU-----------E5540----253GHz,
CPU,BX80637I53470,Intel,Core i5-3470,461,63.1,223595,https://cpu.userbenchmark.com/Intel-Core-i5-3470/Rating/2771,
CPU,,Intel,Xeon W3520,462,63.1,6508,https://cpu.userbenchmark.com/SpeedTest/3585/IntelR-XeonR-CPU-----------W3520----267GHz,
CPU,FD9590FHHKWOF,AMD,FX-9590,463,63.1,26109,https://cpu.userbenchmark.com/AMD-FX-9590/Rating/1812,
CPU,,Intel,Core i7-7820HQ,464,63,15851,https://cpu.userbenchmark.com/SpeedTest/185229/IntelR-CoreTM-i7-7820HQ-CPU---290GHz,
CPU,BX80677G4600,Intel,Pentium G4600,465,62.9,16729,https://cpu.userbenchmark.com/Intel-Pentium-G4600/Rating/3894,
CPU,,Intel,Core i5-2500,466,62.9,82538,https://cpu.userbenchmark.com/SpeedTest/517/IntelR-CoreTM-i5-2500-CPU---330GHz,
CPU,,Intel,Core i5-10310U,467,62.8,4431,https://cpu.userbenchmark.com/SpeedTest/1150155/IntelR-CoreTM-i5-10310U-CPU---170GHz,
CPU,,Intel,Core i5-1145G7,468,62.7,3962,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,
CPU,YD3200C5FHBOX,AMD,Ryzen 3 3200G,469,62.7,104122,https://cpu.userbenchmark.com/SpeedTest/824486/AMD-Ryzen-3-3200G-with-Radeon-Vega-Graphics,
CPU,CM8068403377713,Intel,Pentium G5500T,470,62.6,54,https://cpu.userbenchmark.com/SpeedTest/519437/IntelR-PentiumR-Gold-G5500T-CPU---320GHz,
CPU,YD2400C5FBBOX,AMD,Ryzen 5 2400G,471,62.5,127344,https://cpu.userbenchmark.com/SpeedTest/433194/AMD-Ryzen-5-2400G-with-Radeon-Vega-Graphics,
CPU,FD9370FHHKWOF,AMD,FX-9370,472,62.5,9054,https://cpu.userbenchmark.com/AMD-FX-9370/Rating/2005,
CPU,BX80646I54570,Intel,Core i5-4570,473,62.4,129272,https://cpu.userbenchmark.com/Intel-Core-i5-4570/Rating/2770,
CPU,,Intel,Core i7-3615QM,474,62.4,2657,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz,
CPU,,Intel,Core i7-2920XM,475,62.2,906,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz,
