Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,DTHX30/64GB,Kingston,DataTraveler HyperX USB 3.0 64GB,25,48.2,633,https://usb.userbenchmark.com/Kingston-DataTraveler-HyperX-USB-30-64GB/Rating/1413
USB,,Seagate,Expansion Desk 2TB,26,48,7241,https://usb.userbenchmark.com/SpeedTest/2499/Seagate-Expansion-Desk
USB,,Seagate,Backup+ Desk 3TB,27,46.8,1058,https://usb.userbenchmark.com/SpeedTest/3835/Seagate-Backup--Desk
USB,,Kingston,DT HyperX 3.0 126GB,28,45.4,115,https://usb.userbenchmark.com/SpeedTest/5359/Kingston-DT-HyperX-30
USB,9000349,Lacie,XtremKey USB 3.0 64GB,29,45.1,4,https://usb.userbenchmark.com/Lacie-XtremKey-USB-30-64GB/Rating/1565
USB,,BUFFALO,HD-LXU3 1TB,30,44.7,74,https://usb.userbenchmark.com/SpeedTest/5083/BUFFALO-HD-LXU3
USB,AUE700-128G-CBK,Adata,DashDrive Elite UE700 128GB,31,44.7,46,https://usb.userbenchmark.com/SpeedTest/5044/ADATA-USB-Flash-Drive
USB,,ST3000DM,001-1CH166 3TB,32,44.7,147,https://usb.userbenchmark.com/SpeedTest/10423/ST3000DM-001-1CH166
USB,PSF128GXPUSB,Patriot,Supersonic Xpress USB 3.0 128GB,33,43.6,118,https://usb.userbenchmark.com/SpeedTest/4692/Patriot-Memory
USB,,Intenso,USB 3.0 Device 2TB,34,43.3,660,https://usb.userbenchmark.com/SpeedTest/12198/Intenso-USB-30-Device
USB,,BUFFALO,External HDD 3TB,35,43.3,185,https://usb.userbenchmark.com/SpeedTest/7033/BUFFALO-External-HDD
USB,SDCZ800-128G,SanDisk,Extreme Go USB 3.1 128GB,36,43,967,https://usb.userbenchmark.com/SpeedTest/259550/SanDisk-Extreme
USB,,WD,My Book 1230 2TB,37,41.7,4878,https://usb.userbenchmark.com/SpeedTest/7450/WD-My-Book-1230
USB,,WD,My Book 1230 4TB,38,41.3,14665,https://usb.userbenchmark.com/SpeedTest/2929/WD-My-Book-1230
USB,,ST3000DM,001-9YN166 3TB,39,41.2,21,https://usb.userbenchmark.com/SpeedTest/12114/ST3000DM-001-9YN166
USB,PSF64GXPUSB,Patriot,Supersonic Xpress USB 3.0 64GB,40,41.1,170,https://usb.userbenchmark.com/SpeedTest/3811/Patriot-Memory
USB,,asmedia,ASM1053E 2TB,41,40.2,9,https://usb.userbenchmark.com/SpeedTest/7201/asmedia-ASM1053E
USB,,WD,My Book 1230 3TB,42,39.8,7778,https://usb.userbenchmark.com/SpeedTest/9102/WD-My-Book-1230
USB,,ST4000DM,000-1F2168 4TB,43,39.5,48,https://usb.userbenchmark.com/SpeedTest/12113/ST4000DM-000-1F2168
USB,,Innostor,Innostor 256GB,44,39.4,23,https://usb.userbenchmark.com/SpeedTest/10725/Innostor-Innostor
USB,,Kingston,DT Ultimate 16GB,45,39.3,27,https://usb.userbenchmark.com/SpeedTest/2156/Kingston-DT-Ultimate
USB,,Kingston,DT HyperX 3.0 128GB,46,38.6,55,https://usb.userbenchmark.com/SpeedTest/6316/Kingston-DT-HyperX-30
USB,,LaCie,d2 Quadra v3C 2TB,47,38.3,31,https://usb.userbenchmark.com/SpeedTest/6946/LaCie-d2-Quadra-v3C
USB,,TrekStor,DS maxi light 30 2TB,48,38.2,49,https://usb.userbenchmark.com/SpeedTest/5132/TrekStor-DS-maxi-light-30
USB,,TOSHIBA,MQ01ABD050 500GB,49,37.9,3,https://usb.userbenchmark.com/SpeedTest/3559/TOSHIBA-MQ01ABD050
USB,,asmedia,ASM1053 2TB,50,37.6,96,https://usb.userbenchmark.com/SpeedTest/13016/asmedia-ASM1053
USB,,WD,My Book 1140 3TB,51,37.5,6710,https://usb.userbenchmark.com/SpeedTest/1579/WD-My-Book-1140
